year_added,country,total_count
2008,MOVIE + TV SHOW,2
2008,MOVIE,1
2008,TV SHOW,1
2009,MOVIE + TV SHOW,2
2009,MOVIE,2
2009,TV SHOW,0
2010,MOVIE + TV SHOW,1
2010,MOVIE,1
2010,TV SHOW,0
2011,MOVIE + TV SHOW,15
2011,MOVIE,15
2011,TV SHOW,0
2012,MOVIE + TV SHOW,8
2012,MOVIE,5
2012,TV SHOW,3
2013,MOVIE + TV SHOW,14
2013,MOVIE,6
2013,TV SHOW,8
2014,MOVIE + TV SHOW,37
2014,MOVIE,26
2014,TV SHOW,11
2015,MOVIE + TV SHOW,116
2015,MOVIE,74
2015,TV SHOW,42
2016,MOVIE + TV SHOW,585
2016,MOVIE,344
2016,TV SHOW,241
2017,MOVIE + TV SHOW,1604
2017,MOVIE,1177
2017,TV SHOW,427
2018,MOVIE + TV SHOW,2192
2018,MOVIE,1624
2018,TV SHOW,568
2019,MOVIE + TV SHOW,2810
2019,MOVIE,1916
2019,TV SHOW,894
2020,MOVIE + TV SHOW,261
2020,MOVIE,221
2020,TV SHOW,40